# 724 rectangular buckets with a mean size of 21.33 x 8.52 data points
centerF1, centerF2, bucket, max, min, std, bucket_size_F1, bucket_size_F2
1.000, 0.500, 84.3, 37.1, 37.1, 9.1, 22, 8
1.000, 0.550, 6840.8, 4158.8, 4158.8, 698.1, 22, 9
1.000, 0.600, 28233.1, 5436.7, 5436.7, 1243.8, 22, 8
1.000, 0.650, -7953.6, 99.1, 99.1, 181.7, 22, 9
1.000, 0.700, -9865.2, 583.1, 583.1, 1010.2, 22, 8
1.000, 0.750, 448033.5, 204892.3, 204892.3, 45753.3, 22, 9
1.000, 0.800, 63575.7, 132008.0, 132008.0, 14740.5, 22, 8
1.000, 0.850, 601173.4, 222578.5, 222578.5, 47065.9, 22, 9
1.000, 0.900, 2830167.2, 1304617.4, 1304617.4, 226877.4, 22, 8
1.000, 0.950, 528770.6, 88099.7, 88099.7, 23890.5, 22, 9
1.000, 1.000, 329335.2, 78649.6, 78649.6, 16480.1, 22, 8
1.000, 1.050, 171018.1, 36896.9, 36896.9, 8594.3, 22, 9
1.000, 1.100, 472437.9, 71430.7, 71430.7, 19027.4, 22, 8
1.000, 1.150, 578057.9, 59400.7, 59400.7, 15724.3, 22, 9
1.000, 1.200, 231581.6, 47142.9, 47142.9, 10934.2, 22, 8
1.000, 1.250, 4118957.2, 5091616.3, 5091616.3, 663948.6, 22, 9
1.000, 1.300, 7246427.4, 5616029.8, 5616029.8, 929903.1, 22, 9
1.000, 1.350, 322005.0, 215219.5, 215219.5, 30944.4, 22, 8
1.000, 1.400, 288028.7, 177842.9, 177842.9, 21842.2, 22, 9
1.000, 1.450, 64899.7, 26652.0, 26652.0, 4557.7, 22, 8
1.000, 1.500, -3348.4, 1191.5, 1191.5, 212.3, 22, 9
1.000, 1.550, 151703.6, 66363.8, 66363.8, 13669.5, 22, 8
1.000, 1.600, 28182.6, 86310.8, 86310.8, 10009.1, 22, 9
1.000, 1.650, 746463.7, 199545.3, 199545.3, 41689.6, 22, 8
1.000, 1.700, 310951.4, 136593.8, 136593.8, 22358.1, 22, 9
1.000, 1.750, 336342.9, 141792.0, 141792.0, 32322.6, 22, 8
1.000, 1.800, 4413.5, 3433.2, 3433.2, 828.6, 22, 9
1.000, 1.850, 7671.0, 5859.4, 5859.4, 1557.6, 22, 8
1.000, 1.900, 109530.3, 30049.6, 30049.6, 7914.2, 22, 9
1.000, 1.950, 22451.1, 12011.4, 12011.4, 2584.9, 22, 8
1.000, 2.000, 144.7, 8425.4, 8425.4, 925.3, 22, 9
1.000, 2.050, 40637.3, 28558.5, 28558.5, 4571.9, 22, 8
1.000, 2.100, 26519.7, 28159.3, 28159.3, 4579.0, 22, 9
1.000, 2.150, 299.3, 7455.0, 7455.0, 846.3, 22, 8
1.000, 2.200, 32251.3, 14995.9, 14995.9, 3212.6, 22, 9
1.000, 2.250, 220949.0, 101863.7, 101863.7, 25253.4, 22, 8
1.000, 2.300, 227995.4, 95583.7, 95583.7, 22730.7, 22, 9
1.000, 2.350, 233912.6, 110477.8, 110477.8, 23381.0, 22, 8
1.000, 2.400, -364.8, 0.0, 0.0, 61.2, 22, 9
1.000, 2.450, 0.0, 0.0, 0.0, 0.0, 22, 8
1.000, 2.500, 0.0, 0.0, 0.0, 0.0, 22, 9
1.000, 2.550, 10488.2, 14241.1, 14241.1, 2186.8, 22, 8
1.000, 2.600, 198.2, 5287.2, 5287.2, 559.3, 22, 9
1.000, 2.650, -0.0, 0.0, 0.0, 0.0, 22, 8
1.000, 2.700, -0.0, 0.0, 0.0, 0.0, 22, 9
1.000, 2.750, -20.8, 18.5, 18.5, 8.2, 22, 8
1.000, 2.800, -388.7, 497.3, 497.3, 100.6, 22, 9
1.000, 2.850, 0.0, 0.0, 0.0, 0.0, 22, 8
1.000, 2.900, 0.0, 0.0, 0.0, 0.0, 22, 9
