# 724 rectangular buckets with a mean size of 21.33 x 8.52 data points
centerF1, centerF2, bucket, max, min, std, bucket_size_F1, bucket_size_F2
1.000, 0.500, 119148.3, 16872.1, 16872.1, 4345.3, 22, 8
1.000, 0.550, 64340.8, 14476.4, 14476.4, 3746.7, 22, 9
1.000, 0.600, 118056.9, 19355.1, 19355.1, 5790.2, 22, 8
1.000, 0.650, 6834.0, 7425.7, 7425.7, 1691.5, 22, 9
1.000, 0.700, 344459.3, 230417.0, 230417.0, 46511.1, 22, 8
1.000, 0.750, 309216.1, 205499.3, 205499.3, 32691.0, 22, 9
1.000, 0.800, 78622.7, 39873.2, 39873.2, 7613.9, 22, 8
1.000, 0.850, 711077.9, 161984.2, 161984.2, 39054.7, 22, 9
1.000, 0.900, 1450602.3, 558489.7, 558489.7, 136154.0, 22, 8
1.000, 0.950, 1497875.2, 921576.1, 921576.1, 164895.5, 22, 9
1.000, 1.000, 10793715.2, 5218226.8, 5218226.8, 1052146.5, 22, 8
1.000, 1.050, 1622242.1, 470339.8, 470339.8, 86135.8, 22, 9
1.000, 1.100, 4011686.6, 629745.7, 629745.7, 184339.0, 22, 8
1.000, 1.150, 13946422.0, 2438562.3, 2438562.3, 623859.4, 22, 9
1.000, 1.200, 828578.6, 604945.5, 604945.5, 148361.7, 22, 8
1.000, 1.250, 699156.0, 790957.7, 790957.7, 111350.3, 22, 9
1.000, 1.300, 3293903.9, 1235304.4, 1235304.4, 292274.2, 22, 9
1.000, 1.350, 3694659.1, 7845817.0, 7845817.0, 1001566.4, 22, 8
1.000, 1.400, 3933002.4, 6137682.1, 6137682.1, 605557.6, 22, 9
1.000, 1.450, 2270140.2, 472584.8, 472584.8, 118917.8, 22, 8
1.000, 1.500, 3542568.6, 355253.0, 355253.0, 71967.0, 22, 9
1.000, 1.550, 704135.1, 117783.6, 117783.6, 24855.9, 22, 8
1.000, 1.600, -5456.1, 19383.7, 19383.7, 3272.8, 22, 9
1.000, 1.650, 177682.2, 48036.2, 48036.2, 12158.5, 22, 8
1.000, 1.700, 122800.5, 39130.5, 39130.5, 8543.0, 22, 9
1.000, 1.750, 3281147.1, 1234543.1, 1234543.1, 292729.7, 22, 8
1.000, 1.800, 2720970.2, 900776.4, 900776.4, 148445.9, 22, 9
1.000, 1.850, 3572470.8, 659921.9, 659921.9, 173366.4, 22, 8
1.000, 1.900, 64766.6, 106808.9, 106808.9, 22976.8, 22, 9
1.000, 1.950, 17917.7, 8171.8, 8171.8, 3502.8, 22, 8
1.000, 2.000, 3489982.1, 785558.4, 785558.4, 197027.2, 22, 9
1.000, 2.050, 1607622.8, 552793.2, 552793.2, 114689.0, 22, 8
1.000, 2.100, 1800240.0, 921907.1, 921907.1, 188574.0, 22, 9
1.000, 2.150, -39.1, 28.5, 28.5, 18.9, 22, 8
1.000, 2.200, 1031.8, 5781.9, 5781.9, 1063.7, 22, 9
1.000, 2.250, 94902.3, 59161.5, 59161.5, 13826.7, 22, 8
1.000, 2.300, 4081.7, 34934.6, 34934.6, 4918.0, 22, 9
1.000, 2.350, 245093.2, 91655.2, 91655.2, 26107.4, 22, 8
1.000, 2.400, 2708412.5, 430322.0, 430322.0, 116340.7, 22, 9
1.000, 2.450, -4074.7, 11026.7, 11026.7, 5173.9, 22, 8
1.000, 2.500, 0.0, 0.0, 0.0, 0.0, 22, 9
1.000, 2.550, 0.0, 0.0, 0.0, 0.0, 22, 8
1.000, 2.600, 0.0, 0.0, 0.0, 0.0, 22, 9
1.000, 2.650, 0.0, 0.0, 0.0, 0.0, 22, 8
1.000, 2.700, 0.0, 0.0, 0.0, 0.0, 22, 9
1.000, 2.750, -0.0, 0.0, 0.0, 0.0, 22, 8
1.000, 2.800, -0.0, 0.0, 0.0, 0.0, 22, 9
1.000, 2.850, -0.0, 0.0, 0.0, 0.0, 22, 8
1.000, 2.900, 0.0, 0.0, 0.0, 0.0, 22, 9
1.000, 2.950, -0.0, 0.0, 0.0, 0.0, 22, 8
1.000, 3.000, 0.0, 0.0, 0.0, 0.0, 22, 9
1.000, 3.050, -0.0, 0.0, 0.0, 0.0, 22, 8
1.000, 3.100, -0.0, 0.0, 0.0, 0.0, 22, 9
1.000, 3.150, -0.0, 0.0, 0.0, 0.0, 22, 9
1.000, 3.200, -0.0, 0.0, 0.0, 0.0, 22, 8
1.000, 3.250, -51653.2, 1.5, 1.5, 6733.7, 22, 9
1.000, 3.300, 12028651.9, 5848108.3, 5848108.3, 1443610.8, 22, 8
1.000, 3.350, 254681.1, 316606.9, 316606.9, 58629.9, 22, 9
1.000, 3.400, 141645.0, 34570.3, 34570.3, 10551.5, 22, 8
1.000, 3.450, 0.0, 0.0, 0.0, 0.0, 22, 9
1.000, 3.500, -0.0, 0.0, 0.0, 0.0, 22, 8
1.000, 3.550, 0.0, 0.0, 0.0, 0.0, 22, 9
1.000, 3.600, -0.0, 0.0, 0.0, 0.0, 22, 8
1.000, 3.650, -0.0, 0.0, 0.0, 0.0, 22, 9
1.000, 3.700, -0.0, 0.0, 0.0, 0.0, 22, 8
1.000, 3.750, -0.0, 0.0, 0.0, 0.0, 22, 9
1.000, 3.800, -0.0, 0.0, 0.0, 0.0, 22, 8
1.000, 3.850, -0.0, 0.0, 0.0, 0.0, 22, 9
1.000, 3.900, -0.0, 0.0, 0.0, 0.0, 22, 8
1.000, 3.950, 0.0, 0.0, 0.0, 0.0, 22, 9
1.000, 4.000, 129052.8, 78298.6, 78298.6, 15714.2, 22, 8
1.000, 4.050, 31.9, 29.5, 29.5, 5.2, 22, 9
1.000, 4.100, -3507.1, 85.8, 85.8, 212.9, 22, 8
1.000, 4.150, 0.0, 0.0, 0.0, 0.0, 22, 9
1.000, 4.200, 0.0, 0.0, 0.0, 0.0, 22, 8
1.000, 4.250, 0.0, 0.0, 0.0, 0.0, 22, 9
1.000, 4.300, -0.0, 0.0, 0.0, 0.0, 22, 8
1.000, 4.350, -0.0, 0.0, 0.0, 0.0, 22, 9
1.000, 4.400, 0.0, 0.0, 0.0, 0.0, 22, 8
1.000, 4.450, 0.0, 0.0, 0.0, 0.0, 22, 9
1.000, 4.500, -0.0, 0.0, 0.0, 0.0, 22, 8
1.000, 4.550, 0.0, 0.0, 0.0, 0.0, 22, 9
1.000, 4.600, 0.0, 0.0, 0.0, 0.0, 22, 8
1.000, 4.650, -0.0, 0.0, 0.0, 0.0, 22, 9
1.000, 4.700, 0.0, 0.0, 0.0, 0.0, 22, 8
1.000, 4.750, 0.0, 0.0, 0.0, 0.0, 22, 9
1.000, 4.800, -0.0, 0.0, 0.0, 0.0, 22, 8
1.000, 4.850, 6061102.3, 6407933.0, 6407933.0, 1160549.2, 22, 9
1.000, 4.900, 6142824.0, 5671795.1, 5671795.1, 930651.0, 22, 8
1.000, 4.950, 24012.1, 48265.0, 48265.0, 5641.3, 22, 9
1.000, 5.000, 10541.3, 9670.7, 9670.7, 2097.9, 22, 9
1.000, 5.050, 106114.9, 31670.0, 31670.0, 8797.4, 22, 8
1.000, 5.100, -3669.2, 6869.0, 6869.0, 1560.0, 22, 9
1.000, 5.150, 6816.0, 4240.8, 4240.8, 816.7, 22, 8
1.000, 5.200, 51987.5, 9709.2, 9709.2, 2527.8, 22, 9
1.000, 5.250, 0.0, 0.0, 0.0, 0.0, 22, 8
